T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0;0.00007808;-0.000009491;-0.000090153
0.005;0.000581391;-0.000001509;-0.000580462
0.01;0.00213773;0.000176924;-0.001748028
0.015;0.005169399;0.00059868;-0.003590033
0.02;0.009187584;0.001004836;-0.006191612
0.025;0.012831332;0.001152404;-0.009485965
0.03;0.015037003;0.001010999;-0.012444114
0.035;0.015933373;0.000414164;-0.013600292
0.04;0.016191643;-0.000679519;-0.012068782
0.045;0.015937729;-0.001546034;-0.008023009
0.05;0.014680259;-0.001072648;-0.003343168
0.055;0.01190251;0.000848307;-0.000955488
0.06;0.007761566;0.0027089;-0.002025497
0.065;0.003523528;0.00285876;-0.004230823
0.07;0.000812978;0.001327686;-0.003863621
0.075;0.000261335;-0.00024732;0.000102288
0.08;0.001483686;-0.000312514;0.004700723
0.085;0.00401369;0.001157748;0.006192235
0.09;0.007322874;0.002927554;0.003868442
0.095;0.010506714;0.003727211;0.000303616
0.1;0.012820365;0.002908434;-0.001429931
0.105;0.01399695;0.000844237;-0.000617558
0.11;0.014074013;-0.000913765;0.000845471
0.115;0.013596783;-0.00089522;0.000728198
0.12;0.01334031;0.00080697;-0.001629538
0.125;0.013298852;0.002708978;-0.004976163
0.13;0.012718901;0.003116485;-0.007243759
0.135;0.011314918;0.001500812;-0.007531797
0.14;0.0097852;-0.001002195;-0.006236398
0.145;0.009016202;-0.002943295;-0.003464155
0.15;0.009234973;-0.003929153;0.000893202
0.155;0.010065157;-0.004696744;0.005697199
0.16;0.010911694;-0.006354129;0.008601139
0.165;0.011147271;-0.008951128;0.008367025
0.17;0.010531786;-0.011120751;0.006652421
0.175;0.009362629;-0.011669577;0.006333309
0.18;0.007979933;-0.010455726;0.008358125
0.185;0.006857178;-0.00772318;0.011202646
0.19;0.006701775;-0.003756716;0.012918487
0.195;0.007725077;0.000774635;0.012711047
0.2;0.00959137;0.004492663;0.010963148
0.205;0.011504478;0.006011596;0.008637014
0.21;0.011951678;0.005168948;0.00672564
0.215;0.010021037;0.00259205;0.006047841
0.22;0.0069635;-0.001031044;0.006921492
0.225;0.005276842;-0.004231136;0.00869348
0.23;0.006075578;-0.005075297;0.010084625
0.235;0.008021817;-0.002915748;0.010102294
0.24;0.009501937;0.001086824;0.008380535
0.245;0.010473048;0.004948834;0.004836889
