T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0;-0.000296096;-0.000539378;-0.000077045
0.005;-0.001978767;-0.002041373;-0.000362907
0.01;-0.00508762;-0.002025888;-0.000886419
0.015;-0.005790702;0.001245525;-0.002008869
0.02;-0.000912888;0.002411557;-0.004361925
0.025;0.005973178;-0.002550939;-0.007184884
0.03;0.010633242;-0.008426253;-0.008576768
0.035;0.014285049;-0.011635327;-0.008184564
0.04;0.017239727;-0.013756136;-0.006923082
0.045;0.016349876;-0.01138267;-0.004557832
0.05;0.01234688;-0.001937941;-0.000614535
0.055;0.009218559;0.006688072;0.003542249
0.06;0.005976139;0.009156236;0.005808301
0.065;-0.000458567;0.010048318;0.005119468
0.07;-0.006947384;0.00921197;0.001478331
0.075;-0.008714289;0.002456418;-0.00412498
0.08;-0.007137094;-0.003871332;-0.009848981
0.085;-0.004676409;-0.003424713;-0.013819005
0.09;0.000291816;-0.003268588;-0.014183846
0.095;0.007022777;-0.007379997;-0.009130267
0.1;0.010024647;-0.008382624;0.000835401
0.105;0.007445654;-0.005160859;0.011275772
0.11;0.00376059;-0.003101008;0.016869429
0.115;0.002125657;0.000170981;0.01522729
0.12;0.00132724;0.007263557;0.007008288
0.125;0.001170126;0.011573435;-0.005041705
0.13;0.003073477;0.008296137;-0.016518246
0.135;0.005140149;0.00087342;-0.023005433
0.14;0.004220631;-0.005937219;-0.021936109
0.145;0.001435569;-0.008635809;-0.013479513
0.15;-0.000430089;-0.005138229;-0.00104728
0.155;-0.000738875;0.000834506;0.009901833
0.16;0.000933399;0.002394482;0.015194852
0.165;0.004699395;-0.000987838;0.014047433
0.17;0.00792039;-0.004928887;0.008327005
0.175;0.007582403;-0.008437366;0.001267264
0.18;0.004797185;-0.011177463;-0.003539399
0.185;0.002756976;-0.009856721;-0.004087065
0.19;0.00127706;-0.004256895;-0.001487556
0.195;-0.001308179;0.003003157;0.001364873
0.2;-0.003084646;0.011511255;0.002218008
0.205;-0.001460148;0.018200502;0.000144431
0.21;0.001612914;0.017265159;-0.004300817
0.215;0.003602611;0.010999392;-0.009071115
0.22;0.005956448;0.006249185;-0.012352902
0.225;0.008954997;0.001454428;-0.013581789
0.23;0.009316327;-0.006856855;-0.011937968
0.235;0.006034868;-0.013737191;-0.006454595
0.24;0.001306382;-0.015281286;0.001392408
0.245;-0.004021934;-0.014545378;0.008066681
0.25;-0.009819073;-0.011548626;0.011368434
0.255;-0.013281234;-0.003296102;0.011221852
0.26;-0.011844458;0.005937078;0.007972895
0.265;-0.007252323;0.009442652;0.002239275
0.27;-0.00207291;0.009459952;-0.004111391
0.275;0.0037751;0.010691801;-0.008490017
0.28;0.009316193;0.01058405;-0.009285646
0.285;0.010873929;0.007709569;-0.006775626
0.29;0.0075892;0.00647625;-0.00264874
0.295;0.002894314;0.006152201;0.001301092
0.3;-0.00107891;0.002572294;0.004139565
0.305;-0.004872262;-0.002191983;0.005250738
0.31;-0.008302378;-0.007323209;0.0036772
0.315;-0.009977397;-0.015432493;-0.000674993
0.32;-0.009471407;-0.021283502;-0.006314547
0.325;-0.007357676;-0.01787836;-0.011656808
0.33;-0.003540855;-0.008530508;-0.015174298
0.335;0.001995198;0.000718512;-0.014270273
0.34;0.007225628;0.00943837;-0.007228003
0.345;0.008487694;0.017657874;0.003942014
0.35;0.00416537;0.021924266;0.014307689
0.355;-0.003141015;0.019987483;0.019090931
0.36;-0.008943108;0.013928626;0.016454458
0.365;-0.009515772;0.005789402;0.0087418
0.37;-0.004049146;-0.003269484;0.000441252
0.375;0.004753141;-0.00942609;-0.005639947
0.38;0.011857427;-0.011528516;-0.009178968
0.385;0.012055992;-0.013920148;-0.009916618
0.39;0.004349771;-0.015716967;-0.006962187
0.395;-0.006933994;-0.010782747;-0.000940123
0.4;-0.016265215;-0.001710258;0.004947578
0.405;-0.020176999;0.002538623;0.006722513
0.41;-0.017266923;0.000392279;0.002406695
0.415;-0.008314559;-0.00321743;-0.006041739
0.42;0.003273551;-0.004425874;-0.013291681
0.425;0.013560489;-0.001699854;-0.014316635
0.43;0.019286364;0.003771479;-0.007788155
0.435;0.018090138;0.009001102;0.003843426
0.44;0.010033252;0.012090563;0.016046816
0.445;-0.0018515;0.011900717;0.024136244
0.45;-0.012143165;0.008218917;0.025715497
0.455;-0.015345758;0.002913873;0.021553213
0.46;-0.009892408;-0.002427043;0.013131646
0.465;-0.00059321;-0.006917755;0.001029847
0.47;0.00460051;-0.00940219;-0.012944406
0.475;0.002416744;-0.010878899;-0.024178827
0.48;-0.003013164;-0.012507853;-0.027571587
0.485;-0.006887253;-0.01110909;-0.021571056
0.49;-0.009124043;-0.003727249;-0.0100706
0.495;-0.009705168;0.006194508;0.000559148
0.5;-0.005279834;0.012514355;0.007053748
0.505;0.004917883;0.013108868;0.010760604
0.51;0.016059523;0.010115414;0.013718107
0.515;0.022875051;0.006315527;0.015812993
0.52;0.023119799;0.003326075;0.016342139
0.525;0.016451449;0.0014678;0.015479604
0.53;0.0046944;0.000369311;0.012884923
0.535;-0.00792783;-0.000055954;0.00735894
0.54;-0.018341683;-0.000369123;-0.000982894
0.545;-0.0260066;-0.002107846;-0.010027022
0.55;-0.029439222;-0.006299879;-0.017073739
0.555;-0.026259065;-0.012708196;-0.01973404
0.56;-0.017516672;-0.018330755;-0.016667264
0.565;-0.006321189;-0.018391698;-0.008815589
0.57;0.005857329;-0.013172686;0.000496324
0.575;0.016709458;-0.006891495;0.007371897
0.58;0.022062888;-0.0000969;0.009655229
0.585;0.020683325;0.006713012;0.007895232
0.59;0.015417782;0.010122253;0.004379993
0.595;0.008242404;0.010604287;0.001379865
0.6;-0.000192206;0.010874266;0.000226686
0.605;-0.006674009;0.009835116;0.001190535
0.61;-0.009062786;0.005928307;0.003104725
0.615;-0.01092563;0.000509297;0.003926268
0.62;-0.015117311;-0.003571291;0.002863882
0.625;-0.017863375;-0.005075588;0.000679772
0.63;-0.015817026;-0.006309221;-0.002175116
0.635;-0.011310154;-0.007848112;-0.0055964
0.64;-0.005119939;-0.006902084;-0.008712033
0.645;0.004446554;-0.005011474;-0.010285094
0.65;0.013874464;-0.004710763;-0.009306506
0.655;0.017638364;-0.002108951;-0.005508851
0.66;0.016341636;0.003615842;-0.000644771
0.665;0.013057013;0.006115524;0.002389275
0.67;0.006444956;0.003669043;0.0031067
0.675;-0.003537905;0.000515301;0.003993824
0.68;-0.010542586;0.000043598;0.006926139
0.685;-0.011410687;0.002790868;0.011162565
0.69;-0.01051531;0.00476946;0.014833655
0.695;-0.009698312;0.003626567;0.016630806
0.7;-0.005686368;0.003927873;0.015671871
0.705;-0.000112685;0.005759446;0.010983468
0.71;0.001207629;0.00259129;0.002634965
0.715;-0.000271469;-0.005662825;-0.006958344
0.72;0.000042785;-0.013256235;-0.014249126
0.725;-0.000222235;-0.015685303;-0.016892852
0.73;-0.00329081;-0.010786558;-0.014622448
0.735;-0.004458758;-0.001331727;-0.008785266
0.74;-0.001091241;0.007552528;-0.001157184
0.745;0.002255396;0.013188283;0.006732128
0.75;0.002968001;0.013419142;0.012933888
0.755;0.003774349;0.0082722;0.015613878
0.76;0.004375754;0.001625054;0.014822865
0.765;0.001614287;-0.004155437;0.011876398
0.77;-0.003046236;-0.008155596;0.007755757
0.775;-0.006745368;-0.00873069;0.00353222
0.78;-0.010555535;-0.006690049;0.000431835
0.785;-0.013536817;-0.002635722;-0.001497849
0.79;-0.010072621;0.004849964;-0.00327645
0.795;0.00018719;0.011384728;-0.00536896
0.8;0.009672458;0.010050189;-0.006946907
0.805;0.014279323;0.002465916;-0.006904621
0.81;0.016061208;-0.006056667;-0.005141782
0.815;0.014240486;-0.012633144;-0.002050723
0.82;0.006313142;-0.014286632;0.002259465
0.825;-0.004246479;-0.011008233;0.00682766
0.83;-0.012060359;-0.005425594;0.009452177
0.835;-0.016436152;0.001387433;0.008760334
0.84;-0.016960919;0.005592612;0.005919099
0.845;-0.010574393;0.003918158;0.004016107
0.85;0.001515752;0.001601454;0.00538959
0.855;0.012281944;0.003057925;0.009066555
0.86;0.017298616;0.00514806;0.011642113
0.865;0.017200796;0.005565252;0.010746558
0.87;0.012343551;0.004468736;0.006507589
0.875;0.003120544;0.001862473;0.000376138
0.88;-0.006141116;-0.000495753;-0.005845065
0.885;-0.011306586;-0.001889616;-0.010607105
0.89;-0.013033272;-0.003054787;-0.013530119
0.895;-0.012345018;-0.002499633;-0.015040281
0.9;-0.008516406;-0.001105026;-0.014615873
0.905;-0.002823812;-0.001868404;-0.010375609
0.91;0.002845346;-0.002329667;-0.001358862
0.915;0.008578005;-0.000879467;0.010086011
0.92;0.012678924;-0.001332813;0.019467403
0.925;0.012027614;-0.002336759;0.023612936
0.93;0.007885552;0.00025783;0.021619015
0.935;0.003875131;0.003604843;0.013648814
0.94;0.000701757;0.00523629;0.001288877
0.945;-0.002310344;0.006445591;-0.011790799
0.95;-0.003861157;0.005377889;-0.021130428
0.955;-0.00278434;0.001958077;-0.02325218
0.96;-0.001364282;0.000218973;-0.017523399
0.965;-0.001229455;-0.001276104;-0.007569035
0.97;-0.000046355;-0.006318815;0.000915586
0.975;0.003747188;-0.011728737;0.00458739
0.98;0.008697551;-0.012513367;0.003887627
0.985;0.012654693;-0.008456508;0.001221002
0.99;0.013330379;-0.002038386;-0.000726694
0.995;0.009176601;0.004492148;0.000295754
1;0.001910584;0.009505565;0.005201755
1.005;-0.00460585;0.01061255;0.012687748
1.01;-0.008498634;0.006958788;0.019532556
1.015;-0.009831875;0.002427989;0.022071397
1.02;-0.008604541;-0.000750387;0.018080711
1.025;-0.006121027;-0.004510014;0.008390571
1.03;-0.004389136;-0.006353263;-0.003223428
1.035;-0.002812742;-0.00271215;-0.012745741
1.04;0.000530228;0.002763659;-0.018441767
1.045;0.005623997;0.00718322;-0.020246067
1.05;0.011161036;0.011223964;-0.018496894
1.055;0.016317289;0.010939409;-0.014337521
1.06;0.019632408;0.004136687;-0.009037098
1.065;0.018155743;-0.002633592;-0.002408213
1.07;0.01099958;-0.005567042;0.005980308
1.075;0.001258316;-0.006707405;0.014690732
1.08;-0.007934429;-0.003833656;0.021100742
1.085;-0.015025546;0.003687219;0.023002187
1.09;-0.017205383;0.007994302;0.019263908
1.095;-0.011889613;0.006398589;0.010867974
1.1;-0.00173598;0.003703983;0.001000977
1.105;0.006805689;-0.000478035;-0.007192567
1.11;0.010589792;-0.00561387;-0.011994295
1.115;0.011529002;-0.005263751;-0.012913976
1.12;0.01088118;0.000006889;-0.011160618
1.125;0.00815753;0.004856169;-0.008961085
1.13;0.005694466;0.008671887;-0.007335417
1.135;0.005697553;0.009433822;-0.005988474
1.14;0.006162642;0.003941034;-0.004599248
1.145;0.005203679;-0.005018169;-0.002793512
1.15;0.003280248;-0.011526044;-0.000067259
1.155;0.000529802;-0.010880377;0.003834293
1.16;-0.003098439;-0.003911958;0.00914813
1.165;-0.00539982;0.00270303;0.015650395
1.17;-0.004022275;0.006594524;0.021289333
1.175;-0.001332828;0.009220753;0.022703666
1.18;-0.001418234;0.00751651;0.018003272
1.185;-0.002679004;0.001382498;0.008325789
1.19;-0.00067438;-0.003251842;-0.003081068
1.195;0.003504768;-0.005694389;-0.012101894
1.2;0.006143735;-0.008060225;-0.01507836
1.205;0.007521872;-0.008045273;-0.011080395
1.21;0.00794562;-0.005246623;-0.002937842
1.215;0.004999065;-0.001595029;0.004972794
1.22;-0.000060348;0.002960635;0.009665357
1.225;-0.002063977;0.00518704;0.010400997
1.23;-0.000586662;0.001635683;0.008320508
1.235;0.000100147;-0.002744897;0.00535575
1.24;-0.001235355;-0.003327312;0.002566235
1.245;-0.002921302;-0.002591577;0.000299941
1.25;-0.004284542;-0.001303752;-0.000450635
1.255;-0.004573354;0.001572037;0.001110185
