T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0.000;-0.105180348;0.070226432;0.027081196
0.005;-0.753275303;0.491935529;0.127222835
0.010;-2.564093368;1.627786994;0.145247153
0.015;-5.635217389;3.452848468;-0.456371529
0.020;-9.16054059;5.377334356;-2.227388924
0.025;-11.89661512;6.64994356;-5.083448705
0.030;-12.91041722;6.868867299;-8.136306883
0.035;-11.99504382;6.175415155;-10.15752993
0.040;-9.632931472;5.099163093;-10.2704189
0.045;-6.670743524;4.227727244;-8.418736962
0.050;-3.938966151;3.904974618;-5.354503686
0.055;-1.989094959;4.094969313;-2.162483294
0.060;-1.008502415;4.452327577;0.389660605
0.065;-0.875160514;4.542430463;2.263605023
0.070;-1.286256815;4.084016494;4.067392864
0.075;-1.909308019;3.084104156;6.564344251
0.080;-2.507984905;1.805907173;10.12193383
0.085;-2.995791549;0.608317393;14.43123938
0.090;-3.395622925;-0.239730716;18.59484138
0.095;-3.734800391;-0.675190784;21.46162293
0.100;-3.953822028;-0.85182494;22.02762488
0.105;-3.892720365;-1.072400268;19.77590726
0.110;-3.352874834;-1.681475518;14.88811137
0.115;-2.193305238;-2.929489732;8.279521081
0.120;-0.412855097;-4.835951738;1.404486124
0.125;1.818446509;-7.119414979;-4.182572349
0.130;4.178090443;-9.250621896;-7.395495204
0.135;6.250019819;-10.63547026;-8.045017588
0.140;7.622494249;-10.8523742;-6.848391162
0.145;8.002085214;-9.818588172;-4.966665042
0.150;7.306310653;-7.807011747;-3.343156519
0.155;5.696007531;-5.319557325;-2.267291715
0.160;3.518982135;-2.889127836;-1.408383101
0.165;1.180438041;-0.905740447;-0.216271321
0.170;-0.99520203;0.469367476;1.622970186
0.175;-2.83464718;1.289672326;3.949514768
0.180;-4.294881395;1.737343131;6.207227474
0.185;-5.387298841;2.015702358;7.748047519
0.190;-6.095119842;2.254766605;8.165619383
0.195;-6.331663078;2.448507399;7.473827536
0.200;-5.952665798;2.452945378;6.054687866
0.205;-4.798469516;2.050707446;4.437592011
0.210;-2.760830972;1.064345408;3.070264147
0.215;0.129176873;-0.524275017;2.20870825
0.220;3.630027562;-2.525910922;1.91707249
0.225;7.288622826;-4.593475309;2.092862758
0.230;10.53600161;-6.333772832;2.479027415
0.235;12.84513524;-7.431803811;2.703087866
0.240;13.88180582;-7.73333719;2.391910363
0.245;13.59074878;-7.255079132;1.345698043
0.250;12.18628841;-6.125939558;-0.318967345
0.255;10.06234218;-4.505253404;-2.166884028
0.260;7.659657987;-2.530816339;-3.606718032
0.265;5.32484884;-0.319333381;-4.119546231
0.270;3.223174033;1.989224559;-3.42556832
0.275;1.349216312;4.202624279;-1.528225984
0.280;-0.395617418;6.100316924;1.336193239
0.285;-2.103037096;7.482318476;4.766744893
0.290;-3.776488344;8.212952187;8.234276339
0.295;-5.311068524;8.243718935;11.12011086
0.300;-6.528978279;7.619129758;12.82607358
0.305;-7.242692849;6.474977575;12.9523881
0.310;-7.324663317;5.025099176;11.46272453
0.315;-6.760806796;3.527937236;8.749436529
0.320;-5.671527954;2.220651496;5.551753482
0.325;-4.282300255;1.238451239;2.738051226
0.330;-2.846325491;0.565993355;1.013869951
0.335;-1.550231658;0.051272824;0.653785743
0.340;-0.443753585;-0.528872412;1.371688218
0.345;0.558081785;-1.385691435;2.417901293
0.350;1.598157775;-2.646053256;2.891389074
0.355;2.781031234;-4.317797141;2.11770417
0.360;4.109717299;-6.281443475;-0.095371305
0.365;5.478121515;-8.293713658;-3.425118669
0.370;6.70638104;-10.02504183;-7.20349806
0.375;7.59361337;-11.12320165;-10.6892431
0.380;7.970054227;-11.30153108;-13.32700875
0.385;7.739835467;-10.43095594;-14.89068263
0.390;6.907898025;-8.584392558;-15.45776163
0.395;5.575989205;-6.02844152;-15.24826984
0.400;3.908203375;-3.152825488;-14.43406079
0.405;2.083108535;-0.353115955;-13.04156583
0.410;0.245191287;2.085872597;-11.00401992
0.415;-1.526756786;4.066097276;-8.325392424
0.420;-3.214295996;5.673102599;-5.24504134
0.425;-4.826472933;7.105101415;-2.262730376
0.430;-6.361204747;8.564117405;0.032713858
0.435;-7.763721301;10.15611254;1.245239463
0.440;-8.912018585;11.84102359;1.398972372
0.445;-9.647870772;13.43300162;0.962170502
0.450;-9.819501236;14.65373916;0.614661975
0.455;-9.32724136;15.21741537;0.86449326
0.460;-8.165590076;14.92738376;1.73899025
0.465;-6.440511608;13.75223079;2.731212985
0.470;-4.360264528;11.84383858;3.036364163
0.475;-2.198900224;9.507267738;1.963593142
0.480;-0.246476581;7.125132395;-0.694137954
0.485;1.240972058;5.060877163;-4.524227991
0.490;2.084126318;3.578492176;-8.637228419
0.495;2.195825757;2.80035392;-11.97471311
0.500;1.57321782;2.710559086;-13.6283517
0.505;0.283908827;3.186966357;-13.07737882
0.510;-1.553421464;4.052039493;-10.30058498
0.515;-3.785884298;5.102967814;-5.756602338
0.520;-6.222357265;6.114991212;-0.25997268
0.525;-8.623912113;6.850787852;5.210388611
0.530;-10.71251045;7.080217048;9.733852507
0.535;-12.19755728;6.633361236;12.65617581
0.540;-12.82910375;5.462581163;13.72598368
0.545;-12.46562445;3.672042072;13.114331
0.550;-11.11764883;1.50621593;11.2897684
0.555;-8.94490306;-0.717630541;8.771937928
0.560;-6.205115134;-2.703431543;5.87971567
0.565;-3.18286429;-4.262074135;2.622873694
0.570;-0.12936502;-5.36454529;-1.18556716
0.575;2.770969095;-6.135918756;-5.649309979
0.580;5.398553719;-6.785553529;-10.49659944
0.585;7.670350597;-7.496005225;-14.9589267
0.590;9.502306016;-8.330650035;-17.94544918
0.595;10.78283391;-9.196564611;-18.47627818
0.600;11.36875792;-9.878255844;-16.16855966
0.605;11.114005;-10.12805836;-11.5145691
0.610;9.935023024;-9.766102987;-5.77775904
0.615;7.877820467;-8.766723525;-0.523315493
0.620;5.155885568;-7.290724869;2.99572956
0.625;2.148013029;-5.651782771;4.279730847
0.630;-0.656499042;-4.238583366;3.647592059
0.635;-2.758946269;-3.404200064;1.959968495
0.640;-3.770871258;-3.366824394;0.202783131
0.645;-3.509978836;-4.148677383;-0.844625346
0.650;-2.037013278;-5.568454362;-0.736657097
0.655;0.372295008;-7.300552301;0.688539142
0.660;3.305512864;-8.981596873;3.407870277
0.665;6.317178389;-10.32585949;7.240637863
0.670;9.024380224;-11.19438167;11.78744567
0.675;11.16853807;-11.59814115;16.35707211
0.680;12.63983127;-11.6438911;19.99508972
0.685;13.45676963;-11.45489383;21.69779946
0.690;13.70648108;-11.11490482;20.78222159
0.695;13.48421139;-10.63842273;17.24500695
0.700;12.85542573;-9.971895558;11.88964884
0.705;11.84869505;-9.02491911;6.104606604
0.710;10.47625632;-7.713299624;1.367987726
0.715;8.758720333;-6.00974812;-1.289720989
0.720;6.740423803;-3.974919315;-1.609051268
0.725;4.493185656;-1.74995732;-0.082515272
0.730;2.11146309;0.481208258;2.359144819
0.735;-0.297168845;2.540539697;4.776352353
0.740;-2.624146825;4.298671979;6.546696467
0.745;-4.766352376;5.707717781;7.44803927
0.750;-6.624731952;6.810400257;7.5226218
0.755;-8.10117275;7.725129617;6.891998352
0.760;-9.103615736;8.603919865;5.686131859
0.765;-9.557334843;9.566780201;4.092670375
0.770;-9.406793205;10.64505319;2.398309616
0.775;-8.61191448;11.7458553;0.919597413
0.780;-7.150888134;12.65381746;-0.141787356
0.785;-5.035912246;13.07354346;-0.798007711
0.790;-2.340676914;12.70201309;-1.239845299
0.795;0.776874756;11.33360309;-1.687210456
0.800;4.066303907;8.958235526;-2.240962979
0.805;7.194254478;5.806195594;-2.849503329
0.810;9.779099796;2.308359952;-3.417680024
0.815;11.4565401;-1.025228272;-3.971080766
0.820;11.96877087;-3.743404747;-4.726461648
0.825;11.24523498;-5.554269499;-5.979023688
0.830;9.438383256;-6.361640931;-7.856904572
0.835;6.893420095;-6.248627314;-10.10876933
0.840;4.061474268;-5.432017559;-12.08582593
0.845;1.390665124;-4.193989764;-12.96459033
0.850;-0.769081619;-2.810859939;-12.12298744
0.855;-2.220010795;-1.489346988;-9.488402879
0.860;-2.927184529;-0.331634373;-5.661727749
0.865;-2.993938491;0.657731702;-1.709486963
0.870;-2.609556807;1.539129729;1.304751339
0.875;-1.989066783;2.387919927;2.808420899
0.880;-1.321780209;3.251091779;2.957749985
0.885;-0.740772751;4.123820433;2.492580646
0.890;-0.319299016;4.947746244;2.293682126
0.895;-0.088416108;5.624809618;2.884728142
0.900;-0.06070619;6.029899323;4.137886924
0.905;-0.240934558;6.029677064;5.332622257
0.910;-0.620362967;5.508049252;5.528106086
0.915;-1.15990433;4.403576778;4.039468675
0.920;-1.774835948;2.750576537;0.758113204
0.925;-2.33726235;0.697504913;-3.829992536
0.930;-2.700313531;-1.498044141;-8.883202227
0.935;-2.744532669;-3.511275027;-13.53673142
0.940;-2.428792061;-5.023656021;-17.15974942
0.945;-1.819543066;-5.800624137;-19.44377396
0.950;-1.086237536;-5.752563246;-20.33093944
0.955;-0.457980884;-4.954190845;-19.87264182
0.960;-0.152947158;-3.620366326;-18.13788258
0.965;-0.305414159;-2.038048099;-15.22961025
0.970;-0.920248537;-0.476039732;-11.36232558
0.975;-1.876373936;0.889242522;-6.902245822
0.980;-2.973507006;2.009733468;-2.322400406
0.985;-3.996038933;2.940724104;1.885597119
0.990;-4.763669226;3.775905859;5.284504545
0.995;-5.153628539;4.580016493;7.535750727
1.000;-5.096305849;5.340233679;8.427863899
1.005;-4.556131816;5.957274001;7.874465559
1.010;-3.511339718;6.275772961;5.849980621
1.015;-1.943943541;6.140903021;2.300578458
1.020;0.140547836;5.451135411;-2.849378022
1.025;2.665713832;4.188097359;-9.517275437
1.030;5.446906801;2.428969647;-17.20162462
1.035;8.195930493;0.344517316;-24.85803682
1.040;10.56675786;-1.806014002;-31.0653916
1.045;12.21424038;-3.697584617;-34.45303642
1.050;12.84613229;-5.000999812;-34.2013714
1.055;12.26895366;-5.466136412;-30.38401602
1.060;10.43116959;-4.99091153;-23.98542708
1.065;7.456993118;-3.643649067;-16.55684986
1.070;3.64425852;-1.64257495;-9.641634564
1.075;-0.585054033;0.690109845;-4.235666561
1.080;-4.758500174;2.9901362;-0.546893472
1.085;-8.422241937;4.921054787;1.853511343
1.090;-11.1895705;6.245355382;3.627555181
1.095;-12.77636953;6.863539308;5.268870897
1.100;-13.03102154;6.801832107;6.904763509
1.105;-11.95012982;6.16345913;8.35661931
1.110;-9.676061206;5.067589504;9.37055954
1.115;-6.476106551;3.607401927;9.854406697
1.120;-2.708338017;1.836632809;9.972532081
1.125;1.217398812;-0.213027281;10.04499336
1.130;4.885877524;-2.490865867;10.30729844
1.135;7.930269399;-4.889248154;10.66654525
1.140;10.07611309;-7.232509294;10.61485126
1.145;11.15965717;-9.315473598;9.400307475
1.150;11.12726686;-10.97220785;6.414560864
1.155;10.03280518;-12.12913232;1.595355876
1.160;8.043846519;-12.81763215;-4.414114258
1.165;5.44950749;-13.14434999;-10.4725919
1.170;2.64028124;-13.24796288;-15.38578985
1.175;0.040100702;-13.26052493;-18.29961245
1.180;-1.989906442;-13.27745028;-18.83601309
1.185;-3.231436522;-13.33871128;-16.98848517
1.190;-3.645617254;-13.4173117;-12.94701032
1.195;-3.363483436;-13.42530522;-7.022840317
1.200;-2.635176475;-13.2398834;0.274747303
1.205;-1.756850277;-12.73916731;8.10636555
1.210;-0.993897493;-11.83196591;15.29022262
1.215;-0.514580428;-10.47333742;20.52378633
1.220;-0.354088355;-8.673426962;22.79603204
1.225;-0.421313938;-6.502301897;21.81208168
1.230;-0.547729703;-4.096931271;18.21321978
1.235;-0.554800474;-1.659752613;13.45009327
1.240;-0.309151138;0.566039258;9.321068068
1.245;0.24669237;2.335036952;7.346862603
1.250;1.094243693;3.443977192;8.237270946
1.255;2.16174697;3.770122674;11.67931014
1.260;3.344081949;3.29376967;16.54642601
1.265;4.510015072;2.100799191;21.41240721
1.270;5.512455552;0.367025795;25.07442359
1.275;6.211715012;-1.661613741;26.81710279
1.280;6.50018561;-3.688428181;26.3640594
1.285;6.317016041;-5.38832839;23.67912378
1.290;5.647165167;-6.44521452;18.84125166
1.295;4.50802746;-6.607763011;12.10546726
1.300;2.943480577;-5.7449819;4.076812165
1.305;1.035099046;-3.88664885;-4.186108343
1.310;-1.083881468;-1.232454777;-11.27991969
1.315;-3.226652253;1.879281352;-15.79051156
1.320;-5.164828197;5.036880448;-16.73885417
1.325;-6.653246675;7.840650602;-13.95157826
1.330;-7.470013469;9.978577614;-8.185542183
1.335;-7.470329888;11.26560542;-0.945060631
1.340;-6.638357688;11.64004327;5.921781199
1.345;-5.109618395;11.13336169;10.67598014
1.350;-3.145395173;9.843174817;12.04687185
1.355;-1.06489859;7.922192386;9.450269862
1.360;0.835435656;5.575759699;3.089721211
1.365;2.341137695;3.057342173;-6.047595414
1.370;3.345408985;0.653980953;-16.34728296
1.375;3.848054651;-1.346894903;-25.92181144
1.380;3.937027155;-2.711288753;-33.10283395
1.385;3.760014689;-3.317157084;-36.88745244
1.390;3.488401454;-3.190952989;-37.13822459
1.395;3.282738006;-2.492306703;-34.45680142
1.400;3.268194578;-1.441514909;-29.81319038
1.405;3.510840527;-0.225723335;-24.11168644
1.410;3.990641091;1.070727758;-17.88006006
1.415;4.583579948;2.481142994;-11.20312941
1.420;5.071169263;4.115401629;-3.910398245
1.425;5.189694486;6.084436621;4.093388668
1.430;4.706658223;8.416392233;12.54468251
1.435;3.49621037;10.99426;20.75358891
1.440;1.592754719;13.54014426;27.78712578
1.445;-0.789497087;15.6633686;32.7747699
1.450;-3.278105078;16.9649046;35.13823693
1.455;-5.408416521;17.16215468;34.63089313
1.460;-6.729191734;16.18822519;31.23427517
1.465;-6.921979383;14.2229815;25.05990278
1.470;-5.894275116;11.65243728;16.38020025
1.475;-3.815012137;8.980390481;5.787688283
1.480;-1.077523485;6.713008339;-5.65655266
1.485;1.796604859;5.243972375;-16.46815481
1.490;4.274206032;4.767902448;-25.06062136
1.495;5.915275292;5.246522177;-30.22852837
1.500;6.446313932;6.437938384;-31.52991943
1.505;5.792283742;7.978074567;-29.33603461
1.510;4.066460865;9.488439785;-24.53375555
1.515;1.524916218;10.67328125;-18.1105525
1.520;-1.496517027;11.38060542;-10.90770481
1.525;-4.648180479;11.61431361;-3.640782018
1.530;-7.624149743;11.49627341;2.966866178
1.535;-10.19374467;11.19439642;8.173667026
1.540;-12.20019754;10.84970892;11.41432011
1.545;-13.53665793;10.53738402;12.54828996
1.550;-14.11887719;10.25618705;11.92550034
1.555;-13.8776651;9.920463641;10.18999516
1.560;-12.78299429;9.354686642;7.981041381
1.565;-10.87909409;8.316381244;5.753387295
1.570;-8.293613618;6.572693896;3.7876755
1.575;-5.220256512;4.015889212;2.293852025
1.580;-1.907866872;0.75937686;1.481205526
1.585;1.331860618;-2.855003974;1.549377789
1.590;4.124896063;-6.3529364;2.640705886
1.595;6.080323826;-9.268874664;4.812583388
1.600;6.888495918;-11.26682754;8.035379385
1.605;6.430170104;-12.1998057;12.17125635
1.610;4.831191663;-12.11414979;16.90199589
1.615;2.433997176;-11.23721308;21.6333677
1.620;-0.288586351;-9.952942361;25.45526012
1.625;-2.831770142;-8.740982656;27.24435447
1.630;-4.739403771;-8.072030038;25.95458602
1.635;-5.666585039;-8.285156451;21.04526054
1.640;-5.430333206;-9.490757762;12.87300858
1.645;-4.039778823;-11.5349001;2.811871338
1.650;-1.69359299;-14.03767639;-7.050122671
1.655;1.259533935;-16.49281365;-14.57921237
1.660;4.387958908;-18.40391384;-18.36067872
1.665;7.256607853;-19.42194007;-18.213905
1.670;9.506364265;-19.43786866;-15.21439467
1.675;10.91679431;-18.59905355;-11.21128977
1.680;11.43381098;-17.246894;-8.067891063
1.685;11.15305943;-15.79839573;-6.980615291
1.690;10.26829225;-14.61093905;-8.18274658
1.695;9.009358243;-13.86945714;-11.12237088
1.700;7.589268998;-13.53014935;-14.93020426
1.705;6.165811903;-13.3491321;-18.8420261
1.710;4.820657134;-12.99258434;-22.33217156
1.715;3.564853717;-12.18448493;-24.98394584
1.720;2.375954909;-10.8317894;-26.34427459
1.725;1.252408428;-9.074545515;-25.99318489
1.730;0.258010289;-7.245299668;-23.82417015
1.735;-0.469686118;-5.760652782;-20.28576182
1.740;-0.763063731;-4.976389194;-16.29643461
1.745;-0.506782474;-5.043952213;-12.7688373
1.750;0.278901704;-5.817171229;-10.00315515
1.755;1.391196743;-6.852917216;-7.378376771
1.760;2.464599338;-7.524590274;-3.634277718
1.765;3.065507302;-7.225217861;2.33452339
1.770;2.833963109;-5.592368096;10.61343488
1.775;1.619797459;-2.663042755;19.86919755
1.780;-0.445444073;1.107415528;27.70149881
1.785;-2.973402632;4.96135898;31.59783792
1.790;-5.430541414;8.043958094;30.02556671
1.795;-7.296661724;9.640094523;23.15221757
1.800;-8.213090428;9.379334473;12.88505896
1.805;-8.069068972;7.350189114;2.22445233
1.810;-7.00674823;4.090282803;-5.805063745
1.815;-5.356505829;0.451455583;-9.230755108
1.820;-3.531926454;-2.633631244;-7.798391098
1.825;-1.917310564;-4.421036667;-2.964007315
1.830;-0.775052141;-4.570923227;2.783948825
1.835;-0.189598558;-3.229333863;6.966699108
1.840;-0.055998006;-0.937397325;8.032231171
1.845;-0.122905582;1.600509403;5.722595832
1.850;-0.091792269;3.786645352;0.789415336
1.855;0.25282546;5.321095011;-5.650583125
1.860;0.933514142;6.242661395;-12.64829806
1.865;1.750401878;6.828191033;-19.54549236
1.870;2.359663977;7.423840244;-25.7727037
1.875;2.426414875;8.28210306;-30.66584126
1.880;1.776659938;9.450667005;-33.56162667
1.885;0.475075389;10.74093974;-34.10917405
1.890;-1.200267635;11.78233901;-32.49370738
1.895;-2.861511517;12.15068427;-29.32769572
1.900;-4.142556597;11.54537227;-25.25039177
1.905;-4.81192494;9.950399283;-20.52405889
1.910;-4.839332995;7.689149918;-14.9242184
1.915;-4.40280158;5.332916948;-8.006551785
1.920;-3.829412393;3.504268136;0.424973617
1.925;-3.477539858;2.668786493;9.9447076
1.930;-3.596156952;3.006589162;19.45558616
1.935;-4.225332054;4.394103313;27.51220271
1.940;-5.19469446;6.467878632;32.87682682
1.945;-6.217830268;8.727119433;35.04443534
1.950;-7.023054466;10.64624317;34.46537348
1.955;-7.451441138;11.7903472;32.3239677
1.960;-7.485633165;11.91995099;29.95638252
1.965;-7.219684936;11.05206115;28.2045185
1.970;-6.805680507;9.448689151;27.06935822
1.975;-6.402542093;7.527847637;25.86797661
1.980;-6.128753848;5.73055188;23.77929435
1.985;-6.016780508;4.399345509;20.39370562
1.990;-5.986242253;3.708496443;15.87855565
1.995;-5.861478277;3.656572337;10.66543269
2.000;-5.437522101;4.10335015;4.948279428
2.005;-4.569909949;4.824591547;-1.538258906
2.010;-3.251582666;5.575503642;-9.182348759
2.015;-1.645821945;6.161105636;-17.78571204
2.020;-0.063372203;6.495369379;-26.05019001
2.025;1.108842553;6.623376409;-31.79004158
2.030;1.508498718;6.689378421;-32.91441693
2.035;0.900589354;6.848569559;-28.63691789
2.040;-0.746079278;7.157448318;-20.13852216
2.045;-3.231317441;7.507639989;-10.23035204
2.050;-6.157032344;7.649401876;-2.187565076
2.055;-9.012135456;7.296507796;1.604730541
2.060;-11.28457208;6.252710303;0.525647302
2.065;-12.57161818;4.498505203;-4.212310799
2.070;-12.65199917;2.217035063;-10.20985583
2.075;-11.49686895;-0.230256897;-14.89038854
2.080;-9.240085769;-2.365342682;-16.44187596
2.085;-6.151565601;-3.698508288;-14.34002098
2.090;-2.627474036;-3.880147813;-9.307325233
2.095;0.835375878;-2.856206709;-2.817122121
2.100;3.718440082;-0.940155261;3.567394865
2.105;5.607710213;1.260723202;8.708404927
