T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0;0.000074007;-0.000003116;0.000015608
0.005;0.000344409;0.000060807;0.000159505
0.01;0.000696942;0.000414602;0.000674153
0.015;0.000958872;0.001162794;0.00164364
0.02;0.001318677;0.002056926;0.00266631
0.025;0.001984118;0.002795175;0.003081091
0.03;0.002966358;0.003147275;0.002561303
0.035;0.004134426;0.002858429;0.001477265
0.04;0.004958378;0.001987719;0.000650613
0.045;0.004897407;0.001104338;0.000618349
0.05;0.003858809;0.000789829;0.001227956
0.055;0.002143515;0.000980427;0.001873214
0.06;0.000525971;0.001122927;0.001891305
0.065;-0.000304792;0.001012029;0.001027321
0.07;-0.00025576;0.000759284;-0.000254579
0.075;0.000494471;0.000299106;-0.001144554
0.08;0.001369604;-0.0001836;-0.001227173
0.085;0.001782872;-0.000199414;-0.000776215
0.09;0.001916447;0.000343291;-0.000292837
0.095;0.002022977;0.001226161;0.000163773
0.1;0.002166794;0.002174173;0.000839317
0.105;0.002556116;0.00258843;0.001544721
0.11;0.002762453;0.001788717;0.00163079
0.115;0.002185799;-0.000212441;0.000740626
0.12;0.001232806;-0.002385608;-0.000744742
0.125;0.000453775;-0.003489947;-0.001985177
0.13;-0.000134865;-0.003233039;-0.002278062
0.135;-0.000562986;-0.002109022;-0.00143252
0.14;-0.000706327;-0.000638438;0.000154694
0.145;-0.000259908;0.000510164;0.00155026
0.15;0.00065403;0.000657588;0.001755163
0.155;0.001433548;-0.000104491;0.000540059
0.16;0.002042534;-0.00101371;-0.001304796
0.165;0.002367157;-0.001426813;-0.00261461
0.17;0.001759269;-0.001261164;-0.002681497
0.175;0.000634888;-0.000828457;-0.001625048
0.18;0.000096014;-0.000269686;-0.000085708
0.185;0.000388013;0.000369774;0.001250222
0.19;0.001370678;0.000742111;0.001858371
0.195;0.00281929;0.000728847;0.001652086
0.2;0.004173351;0.000724602;0.001098067
0.205;0.004898876;0.001001712;0.000828815
0.21;0.004659375;0.001562196;0.001240214
0.215;0.003690566;0.002339114;0.002253122
0.22;0.002792294;0.003099694;0.003311735
0.225;0.002429327;0.003463943;0.003727467
0.23;0.00267335;0.003122438;0.003057003
0.235;0.003428975;0.002233072;0.001529707
0.24;0.004326056;0.001461072;0.000119943
0.245;0.005126934;0.001307252;-0.000297396
0.25;0.005529837;0.001802984;0.00032841
0.255;0.00487428;0.002571291;0.001439103
0.26;0.003063397;0.002851043;0.00242209
0.265;0.000929925;0.002313845;0.00297937
0.27;-0.000307086;0.001626708;0.003057255
0.275;0.000293988;0.001506532;0.002608346
0.28;0.002346407;0.001955606;0.001725406
0.285;0.004355008;0.002681074;0.000880643
0.29;0.005207222;0.003454038;0.000713315
0.295;0.004538231;0.003905018;0.001397187
0.3;0.002734857;0.003605575;0.002398448
0.305;0.000991812;0.002592733;0.002973954
0.31;0.000274975;0.001355821;0.002631954
0.315;0.000643725;0.000241791;0.001313683
0.32;0.001438402;-0.000654573;-0.000525715
0.325;0.001661817;-0.001189222;-0.002173645
0.33;0.000938264;-0.001298062;-0.003058857
