T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0;0.000096699;0.00017097;-0.000088783
0.005;0.000589965;0.000904309;-0.000609466
0.01;0.001711783;0.001973841;-0.001892585
0.015;0.003294463;0.002332098;-0.00351605
0.02;0.005030229;0.001811398;-0.004213784
0.025;0.006986327;0.001609212;-0.002853365
0.03;0.009599824;0.002542407;0.000341041
0.035;0.012850664;0.004130379;0.003317926
0.04;0.015325029;0.005359602;0.003752758
0.045;0.014733037;0.005631172;0.001815972
0.05;0.010107273;0.004627305;0.000231058
0.055;0.002943296;0.002187926;0.000923681
0.06;-0.004013498;-0.000797249;0.002806283
0.065;-0.007648102;-0.00246417;0.003371166
0.07;-0.00543681;-0.001593263;0.001863109
0.075;0.001697341;0.001045222;0.000246123
0.08;0.008894937;0.003188519;0.000818465
0.085;0.011402013;0.003234394;0.003693354
0.09;0.008344801;0.001628649;0.006982513
0.095;0.002827378;0.000133452;0.008536449
0.1;-0.000990177;0.000227656;0.007544979
0.105;-0.001122083;0.001997069;0.005154749
0.11;0.001437923;0.004153109;0.003423131
0.115;0.004326914;0.005593174;0.003865185
0.12;0.005644278;0.006503208;0.006861848
0.125;0.004702048;0.007034518;0.011135241
0.13;0.002060206;0.006719079;0.014061723
0.135;-0.001104005;0.006077693;0.013982685
0.14;-0.003734301;0.006233188;0.011620599
0.145;-0.004916389;0.00672286;0.008572497
0.15;-0.004431166;0.006311599;0.005819937
0.155;-0.003643604;0.005303772;0.003779778
0.16;-0.004704468;0.004873754;0.002205879
0.165;-0.008426636;0.005544156;0.000103725
0.17;-0.01290263;0.007587829;-0.003484665
0.175;-0.01492864;0.010986358;-0.008288279
0.18;-0.013338713;0.014520108;-0.011968255
0.185;-0.009956376;0.016731567;-0.011401104
0.19;-0.007343177;0.017086688;-0.005986604
0.195;-0.006686611;0.015047063;0.001279847
0.2;-0.007372618;0.010210131;0.006696799
0.205;-0.007879432;0.004049143;0.008633678
0.21;-0.007270231;-0.000223382;0.007562309
0.215;-0.005972319;-0.000221785;0.005050606
0.22;-0.005210428;0.003232348;0.002805181
0.225;-0.005567969;0.007108717;0.001409962
0.23;-0.006365096;0.009372523;-0.000018829
0.235;-0.00685126;0.009986291;-0.002207304
0.24;-0.007147611;0.009580307;-0.004311777
0.245;-0.007795068;0.008700481;-0.004610484
0.25;-0.009090496;0.007897742;-0.002203906
0.255;-0.010688045;0.00733561;0.00185653
0.26;-0.012169496;0.006383273;0.005314329
0.265;-0.013864438;0.004349165;0.00664718
0.27;-0.015733804;0.001957916;0.005634133
0.275;-0.016547149;0.001324687;0.002708703
0.28;-0.015601801;0.003962355;-0.001141444
0.285;-0.013430395;0.00934219;-0.004349204
0.29;-0.010343167;0.014636733;-0.005684476
0.295;-0.006175753;0.015995147;-0.005230055
0.3;-0.001350243;0.01205029;-0.003901479
0.305;0.002760346;0.005646829;-0.002164482
0.31;0.004707722;0.000985043;0.000243551
0.315;0.004524137;0.000098469;0.00339279
0.32;0.003362903;0.002129287;0.00637538
0.325;0.001294457;0.005021992;0.007648813
0.33;-0.002482141;0.007477449;0.006274315
0.335;-0.007383876;0.009271982;0.00298377
0.34;-0.01087159;0.01089845;-0.000305708
0.345;-0.010558548;0.012687105;-0.002307649
0.35;-0.006959557;0.013628853;-0.002865013
0.355;-0.002731723;0.012493082;-0.001734073
0.36;0.000166774;0.009221329;0.001661819
0.365;0.001019344;0.004743654;0.007214281
0.37;0.000231563;0.000897824;0.013289543
0.375;-0.00091644;-0.000801189;0.017173657
0.38;-0.001377127;-0.000571;0.017509673
0.385;-0.000634951;0.000376083;0.015756985
0.39;0.000759705;0.001067527;0.014121157
0.395;0.001021936;0.001447774;0.013554288
0.4;-0.000935607;0.002540062;0.014132145
0.405;-0.004385369;0.005459334;0.015045789
0.41;-0.007512736;0.00964047;0.014284337
0.415;-0.008519708;0.013021017;0.010371279
0.42;-0.007127545;0.014386806;0.004087917
0.425;-0.004853833;0.013770499;-0.002235655
0.43;-0.003367295;0.01150159;-0.0062649
0.435;-0.003104612;0.00883722;-0.006830672
0.44;-0.002917188;0.007611485;-0.004731705
0.445;-0.0012703;0.008020327;-0.002005285
0.45;0.001493891;0.008816646;-0.0001167
0.455;0.003160926;0.009135818;0.000611995
0.46;0.002267545;0.00808747;0.000646352
0.465;-0.000041101;0.005214333;0.000995655
0.47;-0.001147413;0.002050785;0.002374771
0.475;0.000344112;0.000455079;0.00465539
0.48;0.003663335;0.00055132;0.007193433
0.485;0.006601759;0.001187803;0.008925905
0.49;0.007081262;0.001351995;0.008949641
0.495;0.005578603;0.001169075;0.007437898
0.5;0.004549837;0.001423762;0.005139077
0.505;0.00497684;0.002280763;0.002615125
0.51;0.00585353;0.00306963;0.000866625
0.515;0.006012147;0.003137764;0.001271393
0.52;0.005041524;0.002225336;0.003465799
0.525;0.003359968;0.000838169;0.004818416
0.53;0.001621117;0.00033724;0.003249041
0.535;0.000394778;0.001337715;-0.000745832
0.54;-0.000306396;0.00310861;-0.005111018
0.545;-0.001518566;0.004994457;-0.008152589
0.55;-0.003616929;0.006981035;-0.009507028
0.555;-0.005092677;0.008730882;-0.010073225
0.56;-0.004177661;0.009576753;-0.010902119
0.565;-0.000584772;0.00976965;-0.01136034
0.57;0.004063734;0.009925568;-0.009633562
0.575;0.007669808;0.01024642;-0.006068962
0.58;0.009767781;0.011025479;-0.003358592
0.585;0.011028816;0.012165766;-0.002629747
0.59;0.011537501;0.012778263;-0.002469967
0.595;0.010712332;0.01127572;-0.001732774
0.6;0.008078176;0.006290027;-0.000605317
0.605;0.003926658;-0.00099217;0.000304452
0.61;-0.000763332;-0.007119619;0.000243998
0.615;-0.004920287;-0.009775666;-0.00124541
0.62;-0.007196404;-0.009441984;-0.003336112
0.625;-0.006564326;-0.007557013;-0.004146644
0.63;-0.004114327;-0.004377363;-0.002495395
0.635;-0.002420298;0.000256831;0.000689389
0.64;-0.002652583;0.005476655;0.003049068
0.645;-0.003451028;0.009936705;0.003210532
0.65;-0.002493686;0.012591907;0.001830819
0.655;0.001455282;0.013010184;-0.000218444
0.66;0.007964931;0.012019312;-0.002485936
0.665;0.014877823;0.011026222;-0.003135621
0.67;0.018556523;0.010340457;0.000174088
0.675;0.016715115;0.00926915;0.006798525
0.68;0.010629226;0.007278147;0.012846003
0.685;0.003205644;0.004688039;0.014833765
0.69;-0.002683842;0.002240636;0.012571439
0.695;-0.004732571;-0.000382772;0.008551318
0.7;-0.002909861;-0.00394105;0.005260163
0.705;0.001002126;-0.007380534;0.00308113
0.71;0.005569615;-0.008238488;0.000813631
0.715;0.009375541;-0.005200309;-0.001930097
0.72;0.010235366;0.000456796;-0.004086647
0.725;0.006969923;0.005915567;-0.004648088
0.73;0.001622541;0.009202378;-0.003119996
0.735;-0.001928743;0.010143316;0.000730244
0.74;-0.001809238;0.009103007;0.005994836
0.745;0.00112025;0.006694882;0.010559536
0.75;0.005015084;0.004737631;0.012734081
0.755;0.007626142;0.004337635;0.012292716
0.76;0.006870694;0.003992724;0.010416746
0.765;0.001987295;0.001615174;0.008899751
0.77;-0.005375984;-0.002770089;0.008354976
0.775;-0.011151558;-0.006187795;0.007331073
0.78;-0.012288287;-0.005558394;0.004274445
0.785;-0.009779688;-0.001523949;0.000035796
0.79;-0.006531729;0.00247896;-0.002725977
0.795;-0.004532614;0.00373577;-0.002466156
0.8;-0.004479936;0.002393747;-0.000361727
0.805;-0.005647499;0.000952761;0.000826753
0.81;-0.006195428;0.001622786;-0.000674736
0.815;-0.004673799;0.004451785;-0.004044156
0.82;-0.00148862;0.007451305;-0.006800117
0.825;0.001398585;0.008167542;-0.007504273
0.83;0.002595612;0.005765596;-0.007005529
0.835;0.002332051;0.001874962;-0.006628836
0.84;0.001602123;-0.001200326;-0.006603378
